Number,Level,Problem,Word/Equation,Equation Corresponding,Answer
1,1,James and Melissa have a reading assignment to complete. Melissa has read 75 pages. Together they have read a total of 200 pages. How many pages did James read?,Word Problem,75+x=200,125.00
2,1,"Jake’s class is selling boxes of candy for a fundraiser. Their goal is to raise 500 dollars. If they make $2 for each box of candy they sell, how many boxes do they need to sell to reach their goal?",Word Problem,2x=500,250.00
3,1,Jimmy loves christmas lights! He knows he has 550 total light bulbs and he has 5 strands of lights with the same number of bulbs on each. How many lights are on each strand does Jimmy has?,Word Problem,550=5x,110.00
4,1,7x=49,Equation,,7.00
5,2,Mark bought three notebooks. In total he spent $18. How much did he spend on each notebook?,Word Problem,3x=18,6.00
6,1,Alicia wants to buy a new scooter for $30. She knows she can earn $5 each time she mows a neighbor’s yard. How many yards will she have to mow to afford the scooter?,Word Problem,5x=30,6.00
7,1,"Abdul and Maria are planning a surprise party for their friend. Together they have $12 to spend on balloons. If they buy 4 packages of balloons and spend all their money, how much does a package of balloons cost?",Word Problem,4x=12,3.00
8,1,"Izzy collects marbles. She currently has 12. Her older sister, Adela, tells her that if they combined their collections, they would have 37 marbles total. How many marbles does Adela have?",Word Problem,12+x=37,25.00
9,1,Landon and Chantel are buying supplies for school. Landon spends $3 less than Chantel. Chantel spends $12. How much did Landon spend on school supplies?,Word Problem,x+3=12,9.00
10,1,"Christina has to finish a book before her class tomorrow. She has 100 pages left. If Christina knows that she can read twenty pages in a half an hour, how long (in hours) will it take her to finish her reading?",Word Problem,20x=100,5.00
11,1,"Mrs. Dunn’s class decides that they want to buy her an end of the year gift. There are 24 students in the class. They want to buy Mrs. Dunn a picture frame that costs $12, how much will each student contribute to split the cost evenly?",Word Problem,24x=12,0.50
12,1,x+13=27,Equation,,14.00
13,1,"Felicity has 30 minutes before her bus will come to pick her up. If it takes 9 nine minutes to eat breakfast, how much more time does she have to get ready for school?",Word Problem,x+9=30,21.00
14,1,"Ray has to go to soccer practice in an hour. He wants to watch some of his favorite cartoons before leaving. If each episode is twelve minutes, how many can he watch before he needs to leave?",Word Problem,12x=60,5.00
15,1,"Sean’s class is going on a field trip with a small participation fee. There are 10 students in his class, who all paid the same amount. All together, they paid $25. How much did Sean have to pay?",Word Problem,10x=25,2.50
16,1,Yolanda is in charge of gathering supplies s’mores supplies for a family camping trip. There are five people in Yolanda’s family and Yolanda has a package with 15 segments of chocolate. How many segments of chocolate does each person get to make s’mores?,Word Problem,5x=15,3.00
